"구분","city","region","total_2022","total_2023","gap_vol"
"도착","충남","충청권","2378267","5077334","2699067"
"도착","기타 (12개 지자체)","기타","10195493","9787943","-407550"
"도착","강원","기타","1281678","1015145","-266533"
"도착","경기","수도권","5055054","4882808","-172246"
"도착","대전","충청권","908460","744614","-163846"
"출발","대전","충청권","908460","744614","-163846"
"출발","기타 (12개 지자체)","기타","2517202","2365130","-152072"
"출발","충북","충청권","224541","180756","-43785"
"출발","경기","수도권","369642","326228","-43414"
"출발","충남","충청권","276818","243034","-33784"
